iter	Passed	Remaining
0	237	237628
1	238	119250
2	240	79820
3	241	60060
4	242	48198
5	243	40292
6	244	34653
7	246	30508
8	247	27240
9	248	24596
10	249	22440
11	250	20633
12	251	19108
13	252	17797
14	253	16663
15	254	15676
16	255	14801
17	257	14022
18	258	13325
19	259	12734
20	261	12171
21	262	11654
22	263	11180
23	264	10743
24	265	10343
25	266	9973
26	267	9630
27	268	9311
28	269	9016
29	270	8742
30	271	8482
31	272	8239
32	273	8027
33	275	7824
34	276	7620
35	277	7428
36	278	7248
37	279	7078
38	280	6915
39	281	6760
40	282	6615
41	283	6472
42	284	6341
43	285	6213
44	287	6107
45	290	6022
46	291	5908
47	292	5799
48	293	5695
49	294	5595
50	295	5506
51	297	5415
52	298	5330
53	299	5252
54	303	5210
55	304	5134
56	305	5062
57	307	4986
58	308	4912
59	309	4842
60	310	4774
61	311	4707
62	312	4643
63	313	4580
64	314	4519
65	315	4464
66	316	4413
67	318	4360
68	319	4310
69	320	4260
70	321	4211
71	323	4167
72	324	4123
73	325	4076
74	326	4030
75	327	3986
76	328	3943
77	330	3902
78	331	3867
79	332	3828
80	333	3788
81	335	3750
82	335	3707
83	336	3669
84	337	3635
85	338	3599
86	339	3565
87	340	3532
88	341	3499
89	342	3467
90	343	3435
91	345	3410
92	346	3382
93	347	3353
94	348	3323
95	349	3295
96	350	3266
97	352	3239
98	352	3212
99	354	3187
100	355	3166
101	356	3140
102	357	3115
103	359	3099
104	361	3081
105	362	3059
106	363	3037
107	365	3019
108	366	2999
109	368	2979
110	369	2959
111	370	2940
112	372	2921
113	373	2904
114	375	2887
115	376	2869
116	377	2849
117	378	2830
118	379	2811
119	380	2793
120	382	2777
121	383	2758
122	384	2741
123	385	2724
124	387	2710
125	389	2701
126	390	2684
127	391	2669
128	394	2662
129	395	2648
130	396	2631
131	397	2615
132	398	2599
133	399	2583
134	400	2567
135	401	2552
136	404	2545
137	405	2530
138	406	2518
139	407	2504
140	408	2490
141	409	2474
142	410	2461
143	412	2451
144	413	2439
145	415	2432
146	417	2421
147	419	2414
148	420	2403
149	423	2397
150	424	2385
151	426	2380
152	428	2372
153	429	2360
154	430	2347
155	431	2335
156	434	2330
157	435	2319
158	436	2308
159	437	2297
160	438	2284
161	439	2274
162	441	2268
163	442	2257
164	443	2246
165	444	2234
166	445	2223
167	447	2214
168	448	2207
169	450	2197
170	451	2188
171	452	2178
172	454	2170
173	456	2164
174	457	2155
175	458	2145
176	459	2135
177	460	2125
178	461	2117
179	463	2111
180	464	2102
181	465	2093
182	467	2084
183	468	2076
184	469	2068
185	471	2062
186	472	2053
187	473	2044
188	474	2035
189	475	2026
190	476	2018
191	478	2012
192	479	2004
193	480	1996
194	481	1988
195	483	1981
196	484	1974
197	485	1967
198	486	1959
199	488	1955
200	490	1948
201	491	1942
202	493	1936
203	494	1929
204	495	1921
205	496	1914
206	497	1907
207	499	1902
208	501	1897
209	502	1890
210	503	1882
211	504	1875
212	506	1871
213	507	1864
214	508	1857
215	510	1851
216	511	1847
217	512	1840
218	513	1832
219	514	1825
220	516	1819
221	517	1811
222	518	1804
223	519	1798
224	521	1794
225	522	1788
226	523	1781
227	524	1775
228	525	1768
229	526	1761
230	527	1755
231	528	1748
232	529	1742
233	530	1736
234	531	1729
235	532	1723
236	533	1717
237	534	1711
238	536	1708
239	537	1702
240	538	1696
241	539	1690
242	540	1684
243	541	1678
244	542	1672
245	543	1666
246	544	1660
247	545	1654
248	547	1649
249	548	1644
250	549	1640
251	551	1635
252	552	1630
253	553	1624
254	555	1622
255	556	1617
256	557	1612
257	558	1607
258	560	1603
259	561	1598
260	562	1593
261	563	1588
262	565	1584
263	566	1579
264	567	1574
265	568	1569
266	569	1564
267	570	1558
268	571	1553
269	572	1548
270	573	1543
271	574	1538
272	575	1533
273	576	1528
274	577	1523
275	580	1521
276	581	1517
277	582	1512
278	583	1507
279	584	1502
280	585	1497
281	586	1493
282	587	1488
283	588	1483
284	589	1478
285	590	1474
286	591	1469
287	592	1465
288	594	1461
289	595	1457
290	596	1453
291	597	1449
292	598	1445
293	600	1441
294	601	1437
295	603	1434
296	604	1429
297	605	1425
298	606	1420
299	607	1416
300	609	1414
301	610	1410
302	611	1405
303	612	1401
304	613	1397
305	614	1393
306	615	1389
307	616	1384
308	617	1380
309	618	1376
310	619	1372
311	620	1368
312	622	1367
313	624	1364
314	625	1360
315	626	1356
316	627	1352
317	628	1348
318	629	1344
319	630	1340
320	631	1336
321	632	1332
322	633	1328
323	634	1324
324	636	1321
325	637	1318
326	639	1315
327	640	1311
328	641	1307
329	642	1303
330	643	1299
331	644	1296
332	645	1292
333	646	1288
334	647	1284
335	648	1281
336	649	1277
337	650	1273
338	651	1271
339	653	1267
340	654	1264
341	655	1260
342	656	1257
343	657	1254
344	658	1251
345	660	1247
346	661	1244
347	662	1240
348	663	1237
349	664	1233
350	665	1231
351	667	1229
352	668	1225
353	669	1222
354	670	1218
355	671	1215
356	672	1211
357	673	1208
358	674	1204
359	675	1201
360	676	1198
361	677	1194
362	679	1191
363	680	1189
364	681	1186
365	683	1183
366	684	1180
367	685	1177
368	686	1174
369	689	1174
370	690	1171
371	691	1167
372	692	1164
373	693	1161
374	695	1158
375	696	1156
376	697	1152
377	698	1149
378	699	1146
379	700	1143
380	701	1140
381	702	1136
382	703	1133
383	704	1130
384	705	1127
385	706	1124
386	707	1121
387	708	1118
388	710	1116
389	711	1113
390	713	1110
391	714	1107
392	715	1104
393	716	1101
394	717	1098
395	718	1095
396	719	1092
397	720	1089
398	721	1086
399	722	1083
400	723	1080
401	725	1078
402	726	1075
403	727	1072
404	728	1069
405	729	1066
406	730	1063
407	731	1060
408	732	1057
409	733	1054
410	734	1052
411	735	1049
412	736	1046
413	737	1043
414	739	1042
415	740	1039
416	742	1037
417	743	1034
418	744	1031
419	745	1029
420	746	1026
421	747	1024
422	749	1021
423	750	1019
424	751	1016
425	753	1015
426	756	1015
427	757	1012
428	759	1010
429	760	1007
430	761	1005
431	762	1002
432	764	1000
433	765	998
434	771	1001
435	773	1001
436	775	999
437	778	999
438	780	997
439	782	995
440	786	996
441	787	994
442	789	992
443	790	990
444	791	987
445	793	986
446	795	984
447	796	981
448	797	978
449	799	976
450	800	974
451	801	971
452	802	969
453	803	966
454	804	963
455	805	961
456	806	958
457	807	955
458	809	953
459	810	950
460	810	948
461	811	945
